episode,length,total_reward,J15_reward,J16_reward,J17_reward,J18_reward
59897839475081720,200,-6.429999999999996,-1.2699999999999998,-1.68,-2.94,-0.54
284569280927467319,200,-4.240000000000005,-2.4800000000000004,-0.05999999999999989,-0.19000000000000003,-1.51
931450656676157713,200,-3.459999999999986,0.0,-2.37,-0.5500000000000005,-0.5400000000000005
479953092149711499,200,-3.3000000000000216,-0.47,-2.64,-0.14999999999999994,-0.040000000000000285
820647477791295226,200,-2.959999999999995,-1.2400000000000018,-0.96,-0.46,-0.29999999999999977
671841471209394696,200,-1.490000000000002,-0.42,-0.78,-0.11,-0.18
823578901613409175,200,-2.4899999999999984,-0.29,-1.65,-0.06999999999999999,-0.4799999999999991
113366141754126719,200,-3.619999999999994,-0.6399999999999998,-2.0699999999999994,-0.46000000000000024,-0.45
202871110772997491,200,-2.950000000000001,-0.4400000000000001,-0.32,-1.17,-1.02
331905463043501435,200,-3.4200000000000057,-0.17999999999999994,-2.9999999999999996,-0.059999999999999554,-0.1799999999999999
676809952601782625,200,-2.889999999999999,-0.3000000000000004,-1.41,-0.53,-0.65
350740505183093418,200,-9.749999999999993,-6.07,-1.7499999999999996,-0.8700000000000002,-1.06
270198645183707288,200,-3.5400000000000027,-0.7899999999999996,-0.02999999999999997,-2.6299999999999994,-0.08999999999999997
344218918527763681,200,-2.520000000000005,-0.5500000000000002,-1.33,-0.56,-0.08
790187500347882905,200,-3.8699999999999948,-0.21,-2.4999999999999996,-0.05999999999999997,-1.1
104696183333985372,200,-2.4699999999999944,-0.44,-0.95,-1.0,-0.07999999999999968
963437954582135922,200,-1.7000000000000013,-0.62,-0.6600000000000001,-0.3599999999999991,-0.06000000000000033
483621595576104243,200,-2.2699999999999956,-0.9299999999999999,-0.28000000000000047,-0.93,-0.12999999999999934
65282332522160995,200,-4.010000000000002,-1.18,-1.1000000000000003,-0.030000000000000082,-1.7
986622785775943278,200,-6.350000000000003,-4.32,-0.029999999999999985,-0.08,-1.92
995227076643288981,200,-1.710000000000002,-0.08000000000000002,-1.5700000000000005,-0.03,-0.029999999999999985
444190826794386238,200,-3.3499999999999894,-1.06,-0.6300000000000009,-1.63,-0.029999999999999943
733439452282478084,200,-4.150000000000004,-1.5599999999999998,-0.3800000000000002,-1.6099999999999999,-0.6
79913089062306508,200,-2.430000000000004,-0.03,-0.5800000000000001,-1.71,-0.11000000000000011
850419518922698537,200,-1.6699999999999973,-0.22000000000000003,-1.1700000000000002,-0.2300000000000004,-0.04999999999999999
171132625334854139,200,-2.02,1.942890293094024e-16,-1.3,-0.35,-0.37
759747815353776812,200,-5.2600000000000176,-0.47000000000000025,-1.63,-0.12999999999999998,-3.0300000000000002
67419443643270234,200,-3.2800000000000065,-0.23000000000000012,-0.7199999999999999,-2.15,-0.17999999999999977
353115317032418675,200,-1.4699999999999926,-0.44000000000000006,-0.29999999999999993,-0.38,-0.35
722699352860718247,200,-1.3400000000000016,-0.63,-0.25,-0.16999999999999998,-0.29
639765440574534264,200,-2.949999999999995,-0.86,-0.57,-1.51,-0.010000000000000231
736799539026052361,200,-4.149999999999998,-2.18,-0.38,-0.6000000000000001,-0.99
175127282130602163,200,-0.49999999999999634,-0.11000000000000044,-0.34999999999999987,2.7755575615628914e-17,-0.03999999999999997
526680998773082231,200,-1.159999999999998,-0.020000000000000004,-0.21,-0.8699999999999998,-0.06000000000000072
431761288342199909,200,-1.3700000000000019,-0.78,-0.1699999999999998,-0.42,0.0
227682368490501683,200,-4.840000000000002,-3.53,-0.5,-0.64,-0.17000000000000015
378532700176657435,200,-0.9799999999999927,5.551115123125783e-17,-0.18999999999999975,-0.38,-0.4100000000000004
804622335802513085,200,-1.0499999999999918,-0.6099999999999995,1.3877787807814457e-17,-0.23999999999999996,-0.19999999999999957
910197109233146083,200,-1.9299999999999993,0.0,-0.35,-1.45,-0.13
20641171910757305,200,-1.5899999999999994,-0.09999999999999998,-0.78,-0.03,-0.68
